id,title,make,model,variant,price,year,mileage,fuelType,transmission,distanceMiles,postcodeArea,source,dealerName,motExpiry,listedAt,valueScore,valueInsight,imageUrl,originalListingUrl
1,Volkswagen Golf 1.5 TSI #1,Volkswagen,Golf,1.5 TSI,5379,2016,12137,Petrol,Automatic,9,SW11,Dealer Site,City Motors,Dec 2026,2026-06-02,56,£201 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/1
2,Ford Fiesta Titanium #2,Ford,Fiesta,Titanium,5758,2017,12274,Diesel,Manual,16,SW12,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-03,57,£202 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/2
3,BMW 118i Sport #3,BMW,118i,Sport,6137,2018,12411,Hybrid,Automatic,23,SW13,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-04,58,£203 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/3
4,Toyota Yaris Hybrid #4,Toyota,Yaris,Hybrid,6516,2019,12548,Electric,Manual,30,SW14,eBay,Direct Autos,Dec 2026,2026-06-05,59,£204 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/4
5,Audi A3 TDI Sport #5,Audi,A3,TDI Sport,6895,2020,12685,Petrol,Automatic,37,SW15,Dealer Site,EV Specialists,Dec 2026,2026-06-06,60,£205 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/5
6,Nissan Leaf Tekna #6,Nissan,Leaf,Tekna,7274,2021,12822,Diesel,Manual,44,SW16,Local Garage,AutoMart London,Dec 2026,2026-06-07,61,£206 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/6
7,Honda Civic i-VTEC #7,Honda,Civic,i-VTEC,7653,2022,12959,Hybrid,Automatic,51,SW17,Partner Dealer,City Motors,Dec 2026,2026-06-08,62,£207 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/7
8,Mazda 3 SE-L #8,Mazda,3,SE-L,8032,2023,13096,Electric,Manual,58,SW18,eBay,Premium Cars Ltd,Dec 2026,2026-06-09,63,£208 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/8
9,Volkswagen Golf 1.5 TSI #9,Volkswagen,Golf,1.5 TSI,8411,2024,13233,Petrol,Automatic,65,SW19,Dealer Site,Green Drive Motors,Dec 2026,2026-06-10,64,£209 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/9
10,Ford Fiesta Titanium #10,Ford,Fiesta,Titanium,8790,2025,13370,Diesel,Manual,72,SW0,Local Garage,Direct Autos,Dec 2026,2026-06-11,65,£210 below similar listings,/images/cars/ford-fiesta.jpg,https://example.invalid/listing/10
11,BMW 118i Sport #11,BMW,118i,Sport,9169,2015,13507,Hybrid,Automatic,79,SW1,Partner Dealer,EV Specialists,Dec 2026,2026-06-12,66,£211 below similar listings,/images/cars/bmw-1-series.jpg,https://example.invalid/listing/11
12,Toyota Yaris Hybrid #12,Toyota,Yaris,Hybrid,9548,2016,13644,Electric,Manual,86,SW2,eBay,AutoMart London,Dec 2026,2026-06-13,67,£212 below similar listings,/images/cars/toyota-yaris.jpg,https://example.invalid/listing/12
13,Audi A3 TDI Sport #13,Audi,A3,TDI Sport,9927,2017,13781,Petrol,Automatic,93,SW3,Dealer Site,City Motors,Dec 2026,2026-06-14,68,£213 below similar listings,/images/cars/audi-a3.jpg,https://example.invalid/listing/13
14,Nissan Leaf Tekna #14,Nissan,Leaf,Tekna,10306,2018,13918,Diesel,Manual,100,SW4,Local Garage,Premium Cars Ltd,Dec 2026,2026-06-15,69,£214 below similar listings,/images/cars/nissan-leaf.jpg,https://example.invalid/listing/14
15,Honda Civic i-VTEC #15,Honda,Civic,i-VTEC,10685,2019,14055,Hybrid,Automatic,107,SW5,Partner Dealer,Green Drive Motors,Dec 2026,2026-06-16,70,£215 below similar listings,/images/cars/honda-civic.jpg,https://example.invalid/listing/15
16,Mazda 3 SE-L #16,Mazda,3,SE-L,11064,2020,14192,Electric,Manual,114,SW6,eBay,Direct Autos,Dec 2026,2026-06-17,71,£216 below similar listings,/images/cars/mazda-3.jpg,https://example.invalid/listing/16
17,Volkswagen Golf 1.5 TSI #17,Volkswagen,Golf,1.5 TSI,11443,2021,14329,Petrol,Automatic,121,SW7,Dealer Site,EV Specialists,Dec 2026,2026-06-18,72,£217 below similar listings,/images/cars/vw-golf.jpg,https://example.invalid/listing/17
